,"bioguide","first","first_last","icpsr","last","opensecrets","term_count","term_end","term_start","type","cycle"
487,"C001078","Gerald","Gerald E. Connolly",20952,"Connolly","N00029891",6,"2021-01-03","2019-01-03","rep",2018
498,"C000754","Jim","Jim Cooper",15019,"Cooper","N00003132",11,"2013-01-03","2011-01-05","rep",2010
499,"C000754","Jim","Jim Cooper",15019,"Cooper","N00003132",12,"2015-01-03","2013-01-03","rep",2012
500,"C000754","Jim","Jim Cooper",15019,"Cooper","N00003132",13,"2017-01-03","2015-01-06","rep",2014
501,"C000754","Jim","Jim Cooper",15019,"Cooper","N00003132",14,"2019-01-03","2017-01-03","rep",2016
502,"C000754","Jim","Jim Cooper",15019,"Cooper","N00003132",15,"2021-01-03","2019-01-03","rep",2018
506,"C001059","Jim","Jim Costa",20501,"Costa","N00026341",4,"2013-01-03","2011-01-05","rep",2010
507,"C001059","Jim","Jim Costa",20501,"Costa","N00026341",5,"2015-01-03","2013-01-03","rep",2012
508,"C001059","Jim","Jim Costa",20501,"Costa","N00026341",6,"2017-01-03","2015-01-06","rep",2014
509,"C001059","Jim","Jim Costa",20501,"Costa","N00026341",7,"2019-01-03","2017-01-03","rep",2016
510,"C001059","Jim","Jim Costa",20501,"Costa","N00026341",8,"2021-01-03","2019-01-03","rep",2018
513,"C001069","Joe","Joe Courtney",20706,"Courtney","N00024842",3,"2013-01-03","2011-01-05","rep",2010
514,"C001069","Joe","Joe Courtney",20706,"Courtney","N00024842",4,"2015-01-03","2013-01-03","rep",2012
515,"C001069","Joe","Joe Courtney",20706,"Courtney","N00024842",5,"2017-01-03","2015-01-06","rep",2014
516,"C001069","Joe","Joe Courtney",20706,"Courtney","N00024842",6,"2019-01-03","2017-01-03","rep",2016
517,"C001069","Joe","Joe Courtney",20706,"Courtney","N00024842",7,"2021-01-03","2019-01-03","rep",2018
523,"C000880","Michael","Mike Crapo",29345,"Crapo","N00006267",6,"2017-01-03","2011-01-05","sen",2010
524,"C000880","Michael","Mike Crapo",29345,"Crapo","N00006267",7,"2023-01-03","2017-01-03","sen",2016
525,"C001087","Eric","Eric A. ""Rick"" Crawford",21106,"Crawford","N00030770",1,"2013-01-03","2011-01-05","rep",2010
526,"C001087","Eric","Eric A. ""Rick"" Crawford",21106,"Crawford","N00030770",2,"2015-01-03","2013-01-03","rep",2012
527,"C001087","Eric","Eric A. ""Rick"" Crawford",21106,"Crawford","N00030770",3,"2017-01-03","2015-01-06","rep",2014
528,"C001087","Eric","Eric A. ""Rick"" Crawford",21106,"Crawford","N00030770",4,"2019-01-03","2017-01-03","rep",2016
529,"C001087","Eric","Eric A. ""Rick"" Crawford",21106,"Crawford","N00030770",5,"2021-01-03","2019-01-03","rep",2018
533,"C001063","Henry","Henry Cuellar",20533,"Cuellar","N00024978",4,"2013-01-03","2011-01-05","rep",2010
534,"C001063","Henry","Henry Cuellar",20533,"Cuellar","N00024978",5,"2015-01-03","2013-01-03","rep",2012
